run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,True,True,0.988,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
2,43,small-world,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
3,44,small-world,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
4,45,small-world,True,True,0.996,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
5,46,small-world,True,True,0.996,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
6,47,small-world,True,True,1.0,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
7,48,small-world,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
8,49,small-world,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
9,50,small-world,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
10,51,small-world,True,True,0.981,1.0,1.0,0,1,0.5,2,1,0.0,none,0,0,0
11,52,small-world,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
12,53,small-world,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
13,54,small-world,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
14,55,small-world,True,True,0.98,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
15,56,small-world,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
16,57,small-world,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
17,58,small-world,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
18,59,small-world,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
19,60,small-world,True,True,0.987,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
20,61,small-world,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
21,62,small-world,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
22,63,small-world,True,True,1.0,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
23,64,small-world,True,True,0.985,1.0,1.0,0,1,0.0,3,0,0.0,none,0,0,0
24,65,small-world,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
25,66,small-world,True,True,0.998,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
26,67,small-world,True,True,0.994,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
27,68,small-world,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
28,69,small-world,True,True,0.952,1.0,1.0,0,1,0.667,3,2,0.0,none,0,0,0
29,70,small-world,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
30,71,small-world,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
31,72,small-world,True,True,0.998,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
32,73,small-world,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
33,74,small-world,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
34,75,small-world,True,True,0.998,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
35,76,small-world,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
